숙박업명,구군명,주차장존재여부,식당존재여부,바여부,카페보유여부,피트니스센터여부,야외수영장여부,스파여부,사우나여부,연회장여부,비즈니스센터여부,해변여부,위도,경도,주변숙박업소수,관광지_5km_내_개수,객실수_구간,평균가격_구간,공항과의거리_구간,군집,편의시설,주변 관광지,가격대,공항과의 거리
플레이스 캠프 제주,서귀포시,Y,N,Y,Y,N,N,N,N,Y,N,N,33.4500452,126.9184399,4,23,중간 규모,저가,매우 먼 거리,0,"주차장, 바, 야외수영장은 대부분 존재, 피트니스센터, 스파, 사우나 비율이 상대적으로 낮음.",평균 관광지 수 (5km 내): 18.42개,가격대: 중간가 (보통),공항과의 거리: 매우 먼 거리
호텔 스카브로,서귀포시,Y,N,Y,Y,N,Y,Y,Y,N,Y,N,33.2340525,126.3699995,0,30,소규모,고가,매우 먼 거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
카사로마 호텔,서귀포시,Y,Y,Y,Y,Y,Y,N,N,Y,Y,N,33.2467908,126.5581542,10,23,소규모,중간가,원거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
어반스테이 제주연동,제주시,Y,N,Y,N,N,N,N,N,N,N,N,33.4855184,126.489428,23,41,소규모,저가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
벤티모 호텔 앤 레지던스 제주,제주시,Y,N,Y,Y,Y,N,N,N,N,N,N,33.4934577,126.4937634,12,40,소규모,중간가,근접,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
파크 선샤인 제주,서귀포시,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,33.2434345,126.553327,6,23,중간 규모,중간가,원거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
제주 노블피아 호텔,서귀포시,Y,Y,N,N,N,N,N,N,N,N,N,33.2473508,126.5668802,9,21,중간 규모,저가,원거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
호텔 화인,서귀포시,Y,N,Y,Y,N,N,N,N,N,N,N,33.2403247,126.5651122,6,21,소규모,중간가,매우 먼 거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
"헤이, 서귀포",서귀포시,Y,N,Y,Y,N,N,N,N,Y,Y,N,33.2462261,126.5600906,9,23,중간 규모,저가,원거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
신신호텔 천지연,서귀포시,Y,Y,Y,Y,N,N,N,N,Y,Y,N,33.2495146,126.5576159,9,23,대규모,저가,원거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
신신호텔 제주월드컵,서귀포시,Y,Y,Y,Y,Y,N,N,N,Y,Y,N,33.25456,126.5192299,2,23,중간 규모,저가,원거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
호텔 케니 모슬포,서귀포시,Y,N,Y,Y,N,N,N,N,Y,N,N,33.226052,126.252463,0,19,중간 규모,저가,매우 먼 거리,3,"주차장, 바, 비즈니스센터는 대부분 존재, 피트니스센터와 야외수영장 비율이 낮음",평균 관광지 수 (5km 내): 20.27개,가격대: 저가,공항과의 거리: 원거리
담모라 리조트,서귀포시,Y,Y,N,N,N,Y,N,N,Y,N,N,33.2497665,126.3059924,0,50,소규모,저가,매우 먼 거리,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
산방산 호텔,서귀포시,Y,Y,Y,N,N,N,N,N,Y,Y,N,33.2499796,126.2937786,0,40,소규모,중간가,매우 먼 거리,1,"주차장, 식당, 비즈니스센터가 높은 비율로 존재, 바와 해변 접근성은 낮음.",평균 관광지 수 (5km 내): 38.81개,가격대: 저가,공항과의 거리: 근접
블룸 호텔,서귀포시,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,33.2499268,126.4082026,5,19,소규모,중간가,원거리,4,"주차장, 식당, 바, 카페, 피트니스센터, 야외수영장, 스파, 사우나 비율이 매우 높음",평균 관광지 수 (5km 내): 21.5개,가격대: 높음,공항과의 거리: 원거리
르메인 호텔 협재,제주시,Y,N,Y,N,N,N,Y,Y,N,N,Y,33.3970766,126.244507,1,33,소규모,중간가,원거리,2,"주차장, 식당, 바, 카페, 비즈니스센터 존재 비율이 높음, 피트니스센터와 야외수영장 비율이 중간 정도",평균 관광지 수 (5km 내): 22개,가격대: 중간가 (보통),공항과의 거리: 근접
